raw_name,clean_name,mrp,offer_price,image_url,source_images
Britannia Bourbon BritanniaBourbonTheOriginal,Britannia Bourbon Biscuits,4.5,,,WhatsApp Image 2026-04-18 at 10.23.04 AM (2).jpeg
BritanniaCake,Britannia Cake Gobbles Fruity Fun,10,,https://images.openfoodfacts.org/images/products/890/106/336/3748/front_en.4.400.jpg,WhatsApp Image 2026-04-18 at 10.23.07 AM.jpeg; WhatsApp Image 2026-04-18 at 10.23.09 AM.jpeg
BritanniaGoodDayButter Cookies,Britannia Good Day Butter Cookies,5,,https://images.openfoodfacts.org/images/products/890/106/309/2822/front_en.4.400.jpg,WhatsApp Image 2026-04-18 at 10.23.03 AM.jpeg
BritanniaGoodDayCashew AlmondCookies,Britannia Good Day Cashew Cookies,5,,,WhatsApp Image 2026-04-18 at 10.23.05 AM (2).jpeg
Britannia Good Day Chocochip Cookies,Britannia Good Day Chocochip Cookies,5.0,,,WhatsApp Image 2026-04-18 at 10.23.05 AM (2).jpeg
BritanniaGoodDayPista BadamCookies,Britannia Good Day Pista Badam Cookies,10.0,,https://images.openfoodfacts.org/images/products/890/106/309/4253/front_en.4.400.jpg,WhatsApp Image 2026-04-18 at 10.23.05 AM (2).jpeg
Britannia Little Hearts Britannia LittleHeartsClassic,Britannia Little Hearts Classic,10.0,,,WhatsApp Image 2026-04-18 at 10.23.07 AM (1).jpeg
"Britannia Marie Gold Biscuits, 250g Pack",Britannia Marie Gold Biscuits 250g,,,,
"BritanniaMilkBikis100%Atta Biscuit,33.5gPack",Britannia Milk Bikis 100% Atta Biscuit,5,,,WhatsApp Image 2026-04-18 at 10.23.05 AM (1).jpeg
Britannia Nice Time BritanniaNiceTimeBiscuits,Britannia Nice Time Biscuits,10.0,,,WhatsApp Image 2026-04-18 at 10.23.06 AM.jpeg
BritanniaNutriChoiceDigestive Biscuits,Britannia NutriChoice Digestive Biscuits,10,,https://images.openfoodfacts.org/images/products/890/106/313/6403/front_en.4.400.jpg,WhatsApp Image 2026-04-18 at 10.23.09 AM (2).jpeg
BritanniaTigerGlucose Biscuits,Britannia Tiger Glucose Biscuits,5,,,WhatsApp Image 2026-04-18 at 10.23.07 AM (2).jpeg
BritanniaTigerKrunchBiscuits,Britannia Tiger Krunch Chocochips Biscuits,5.0,,https://images.openfoodfacts.org/images/products/890/106/315/5534/front_en.4.400.jpg,WhatsApp Image 2026-04-18 at 10.23.07 AM (2).jpeg
BritanniaToasteaMilkAtta Rusk,Britannia Toastea Milk Atta Rusk,35,,,WhatsApp Image 2026-04-18 at 10.23.04 AM.jpeg
"Britannia Treat Choco Creme, 43g Pack",Britannia Treat Choco Creme,10,,,WhatsApp Image 2026-04-18 at 10.23.09 AM (1).jpeg
BritanniaTreatCroissant,Britannia Treat Croissant Cocoa Creme Roll,20,,,WhatsApp Image 2026-04-18 at 10.23.08 AM (2).jpeg; WhatsApp Image 2026-04-18 at 10.23.09 AM (1).jpeg
Britannia Jim Jam BritanniaTreatJimJamBiscuits,Britannia Treat Jim Jam Biscuits,10.0,,,WhatsApp Image 2026-04-18 at 10.23.05 AM.jpeg
"Britannia Vita Marie Gold Biscuits, 61g Pack",Britannia Vita Marie Gold Biscuits 61g,,,,
Britannia5050MaskaChaska Biscuits,Britannia5050Maska Chaskg Biscuits,5.0,,,WhatsApp Image 2026-04-18 at 10.23.06 AM (1).jpeg; WhatsApp Image 2026-04-18 at 10.23.08 AM (1).jpeg
"Britannia5050SweetandSalty Biscuit, 62.89g Pack","Britannia5050Sweetand Salty Biscuit, 62 89g Pack",10,,,WhatsApp Image 2026-04-18 at 10.23.06 AM (1).jpeg
Britannia5050TimePas Classic,Britannia5050Time Pas Classic,10,,,WhatsApp Image 2026-04-18 at 10.23.06 AM (1).jpeg
"Britannia5050TimePass, Classic","Britannia5050Time Pass, Classic",10.0,,,WhatsApp Image 2026-04-18 at 10.23.08 AM (1).jpeg
Britannia Cake,Britannig Cake,10,,,WhatsApp Image 2026-04-18 at 10.23.07 AM.jpeg; WhatsApp Image 2026-04-18 at 10.23.09 AM.jpeg
"Britannia TigerKreemz, Choco, 33.4gPack","Britannig Tiger Kreemz, Choco, 33 4g Pack",5,,,WhatsApp Image 2026-04-18 at 10.23.08 AM.jpeg
Britannia Toastea GOLD 6 days left RENEWNOW at299389 BEST SELLER BritanniaToasteaPremium Bake Rusk,Britannig Toasteg,10,,,WhatsApp Image 2026-04-18 at 10.23.04 AM.jpeg
