folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg,VIEWDETAILS BESTSELLER Cadbury5StarOreoChocolate Bar,500g,150,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg,VIEWDETAILS BESTSELLER CadburyChocobakes Chocolayered Cake,40g,45,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg,Cadbury PRICE/pc CHOCOBAKES,17g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg,Cadbury5StarOreoChocolate,75 g,150,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg,CadburyChocobakes,40g,45,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg,Cadbury,75 g,150,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg,BESTSELLER Cadbury0reo0riginal,41.75g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg,SOLDOUT VIEWDETAILS BESTSELLER CadburyDairy Milk,41.75g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg,pc Dairy Milk,12.1g,10.0,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg,SOLDOUT SOLDOUT VIEWDET BEST SELLER Cadbury5Star,12.1g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg,"Cadbury0reo0riginal,41.75g",41.75g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg,"CadburyDairy Milk,12.1g Pack",12.1g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg,"Cadbury5Star,20.2gPack",20.2g,5.0,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg,BESTSELLER Cadbury5Star,20.2g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg,SOLDOUT VIEWDETAILS BESTSELLER Cadbury Oreo Choco Creme,20.2g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg,SOLDOUT VIEWDET BESTSELLER CadburyPerkDouble,41.75g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg,"Cadbury5Star,20.2gPack",20.2g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg,Cadbury Oreo Choco Creme,41.75g,5.0,
Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg,"CadburyPerkDouble,20gPack",75g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg,BESTSELLER Cadbury Perk Double,20g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg,BESTSELLER CadburyDairyMilk,20g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg,Milk 43.82 11.8% margin GOLDFREEDELIVERY MRP 49.0 VIEWDETAILS BESTSELLER CadburyDairyMilkSilk,36g,49,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg,"Cadbury Perk Double, 20g Pack",20g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg,"CadburyDairyMilk,Roast",20g,10,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg,CadburyDairyMilkSilk,52g,49.0,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg,BESTSELLER CadburyFuse,23g,20,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg,BEST SELLER Cadbury Shots,23g,20,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg,VIEWDETAILS BESTSELLER CadburyDairyMilkSilk Chocolate,9.6g,5,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg,"CadburyFuse,23gPack",23g,20,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg,"Cadbury Shots, 9.6g Pack",23g,20,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg,CadburyDairyMilkSilk,9.6g,5,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg,VIEWDETAILS BESTSELLER CadburyDairyMilk,36g,49,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg,Dairy Milk,36g,49,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg,VIEWDETAILS LotusBiscoffCaramelized Cookies,36g,49,
Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg,"CadburyDairyMilk,Fruit&Nut",36g,49,
Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg,SOLDOUT VIEWDETAILS BESTSELLER Cadbury Celebrations,500g,150,
Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg,VIEWDET BESTSELLER CadburyDairyMilkCrispello,49.2g,50,
Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg,"Cadbury Celebrations,49.2g",15.3 g,50,
Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg,CadburyDairyMilkCrispello,49.2g,50,
Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg,VIEWDETAILS BESTSELLER Cadbury Gems Surprise,14.6g,45.0,
Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg,VIEWDETAILS BESTSELLER CadburyGems,14.6g,45.0,
Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg,"Cadbury Gems Surprise, 14.6g",14.6g,45.0,
Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg,"CadburyGems,7.34gPack",144 G,45.0,
