folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM (1).jpeg,Lavian MRP 9.0 SOLDOUT VIEWDETAILS Lavian Cuppies Choco Cupcake,37 L,9.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM (1).jpeg,SOLDOUT VIEWDETAILS Lavian Snipi Wafer,37 L,9.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM (1).jpeg,Lavian,37 L,9.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM (1).jpeg,Lavian Cuppies Choco Cupcake,37 L,9.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM (1).jpeg,"Lavian Snipi Wafer, Orange, 32g",30g,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM.jpeg,Lavian GOLD 5 daysleft RENEWNOW at299389 BESTSELLER LavianFrutosSoftChew Toffees,36 L,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM.jpeg,SOLDOUT VIEWDETAILS Lovian LavianTwist ChatpataMasala Twist Mango Candy,4.095g,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM.jpeg,Masala MRP50ICasesize60 PRICE/pc 38.04 HARNGPACX 31.4% margin MRP 50.0 VIEWDET BESTSELLER Lavian Orange Fills Candy,180g,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM.jpeg,Lavian,36 L,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM.jpeg,LavianFrutosSoftChew,36 L,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM.jpeg,LavianTwist ChatpataMasala,180g,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.40 PM.jpeg,"Lavian Orange Fills Candy, 185g",180g,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (1).jpeg,Lavian VIEWDETAILS 只 BESTSELLER LavianJellyto'sYummyBears Jelly,36 L,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (1).jpeg,Jellytos MRP10|Casesize288 oghuuimk BEST PRICE/pc ?8.28 20.8% margin GOLDFREEDELIVERY BULKOFFER MRP 10.0 VIEWDETAILS BESTSELLER Lavian Cuppies Cream Cupcake,36 L,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (1).jpeg,Pack Lavian MRP35|Casesize288 cuppies CREAM CAKE BEST PRICE/pc ?4.11 21.7% margin Stra GOLD FREEDELIVERY BULKOFFER MRP 5.0 VIEWDET BESTSELLER Lavian Cuppies Cream Cupcake,16g,10.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (1).jpeg,Lavian,36 L,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (1).jpeg,LavianJellyto'sYummyBears,36 L,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (1).jpeg,Lavian Cuppies Cream Cupcake,16g,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg,Lavian BESTSELLER Lavian Chokito Chocolate,37 L,240,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg,VIEWDETAILS BESTSELLER Lavian Milk Eclair,4g,240,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg,Lavian 口 MRP50 MILK AIR ECL MRP R50.0 SOLDOUT VIEWDETAILS BESTSELLER Lavian Cuppies Cream Cupcake,160g,240.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg,Chocolate,37 L,240,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg,gPack Lavian MRP35|Casesize288 cuppies CREAM CAKE,3.2g,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg,Lavian,37 L,240,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg,Lavian Chokito Chocolate,37 L,240,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg,"Lavian Milk Eclair, 160g Pack",160g,240.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (2).jpeg,Lavian Cuppies Cream Cupcake,160g,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg,Lavian BESTSELLER Lavian Cuppies Cream Cupcake,36 L,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg,Pack Lavian MRP5|Casesize288 cuppies CREAM BEST PRICE/pc CAKE ?4.09 22.2% margin Uanilla GOLD FREEDELIVERY BULKOFFER MRP MRP 5.0 10.0 SOLD OUT VIEWDETAILS Lavian Cakkies Chocolate Cake,36 L,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg,VIEWDETAILS BESTSELLER LavianEclairs,26g,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg,Lavian MRP50|Casesize48 ECLAIR BESTPRICE/DC,160g,10.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg,Lavian,36 L,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg,Lavian Cuppies Cream Cupcake,36 L,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg,Lavian Cakkies Chocolate Cake,26g,5.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM (3).jpeg,"LavianEclairs,160gPack",26g,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg,Lavian BESTSELLER LavianChokitoCaramellFilled Truffles,700g,350.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg,SOLDOUT VIEWDETAILS Lavian Dessert Cake,700g,350.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg,Lavian 12.5g) MRP?240 MRP 240.0 SOLDOUT VIEWDETAILS LavianSnipi Wafer,10g,350.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg,Lavian,700g,350.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg,LavianChokitoCaramellFilled,700g,350.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg,"Lavian Dessert Cake,Belgian",700g,350.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.41 PM.jpeg,"LavianSnipi Wafer,Strawhorry",625g,240.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg,Lavian BESTSELLER Lavian Cuppies Cream Cupcake,37 L,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg,Chocolate,37 L,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg,gPack Lavian D MRP5|Casesize288 cuppies CREAM CAKE MRP R5.0 SOLDOUT VIEWDETAILS BESTSELLER LavianMr.BreakChocoCoated Wafer,37 L,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg,SOLDOUT VIEWDETAILS BESTSELLER LavianChokitoCaramellFilled Truffles,720g,240.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg,Lavian,37 L,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg,Lavian Cuppies Cream Cupcake,37 L,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg,LavianMr.BreakChocoCoated,16g,5,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (1).jpeg,LavianChokitoCaramellFilled,720g,240.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg,Lavian BESTSELLER Lavian Orange Fills Candy,36 L,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg,Laviany MRP50|Casesize48 range Fills BEST PRICE/pc ?39.44 26.8% margin GOLD FREEDELIVERY BULKOFFER MRP 50.0 VIEWDETAILS BESTSELLER Lavian Fruity Blast Lollipops,36 L,50,
