brand,name,weight,mrp,category,folder,image_file
Aashirvaad,AASHIRVAAD IODIZED SALT,1Kg,84,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,Aashirvaad Attawith,5Kg,263,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,Aashirvaad Shudh Chakk,1Kg,22,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg
Aashirvaad,Aashirvaad Shudh Chakk 5Kg Pack AASHIRVAAD MRP?263 Casesize6 SDIOO / 243 486,1Kg,22,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg
Aashirvaad,Aashirvaad Shudh Chakki Atta,5Kg,263,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,Aashirvaad Superior MPAtta,1Kg,74,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg
Aashirvaad,Aashirvaad lodised Salt,1Kg,84,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,"Aashirvaad lodised Salt, 1Kg",1Kg,84,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.06 AM.jpeg
Aashirvaad,Aashirvaad lodized Crystal Salt,1Kg,74,ATTA_SALT,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM.jpeg
Bingo!,Bingo! No Rulz Mix Puffs,17.3g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (1).jpeg
Bingo!,Bingo!Mad Angles Achaari,17.3g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg
Bingo!,Bingo!Mad Angles Pizza Aaaah,24g,10,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg
Bingo!,Bingo!No Rulz Curlz,21.6g,10,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg
Bingo!,"Bingo!No Rulz Curlz,Cheese",20g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg
Bingo!,"Bingo!No Rulz Curlz,Masala",17.3g,10.0,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg
Bingo!,"Bingo!Potato Chips,Cream&",25g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg
Bingo!,Bingo!Tedhe Medhe Mas,17.3g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (2).jpeg
Bingo!,Bingo!Tedhe Medhe Masala,20g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (2).jpeg
Bingo!,"Bingo!Tedhe Medhe,Chatpata",25g,5,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.05 AM (1).jpeg
Bingo!,"Bingo!Tedhe Medhe,Xtraa",75g,20,CHIPS_SNACKS,ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg
Cadbury Celebrations,Cadbury Celebrations,500g,150,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg
Cadbury Celebrations,"Cadbury Celebrations,49.2g",15.3 g,50,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg
Cadbury Chocobakes,Cadbury / CHOCOBAKES,17g,10,CAKES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Chocobakes,Cadbury Chocobakes,40g,45,CAKES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Chocobakes,Cadbury Chocobakes Chocolayered Cake,40g,45,CAKES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk,20g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk,36g,49,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk,41.75g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Crispello,49.2g,50,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Silk,36g,49,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Silk,52g,49.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Silk,9.6g,5,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Dairy Milk,Cadbury Dairy Milk Silk Chocolate,9.6g,5,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Dairy Milk,"Cadbury Dairy Milk,12.1g Pack",12.1g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg
Cadbury Dairy Milk,"Cadbury Dairy Milk,Fruit&Nut",36g,49,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg
Cadbury Dairy Milk,"Cadbury Dairy Milk,Roast",20g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Dairy Milk,Dairy Milk,12.1g,10.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (2).jpeg
Cadbury Dairy Milk,Dairy Milk,36g,49,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM.jpeg
Cadbury Fuse,Cadbury Fuse,23g,20,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Fuse,"Cadbury Fuse,23g Pack",23g,20,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Gems,Cadbury Gems,14.6g,45.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg
Cadbury Gems,Cadbury Gems Surprise,14.6g,45.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg
Cadbury Gems,"Cadbury Gems Surprise, 14.6g",14.6g,45.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg
Cadbury Gems,"Cadbury Gems,7.34g Pack",144 G,45.0,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.21 AM.jpeg
Cadbury Oreo,Cadbury Oreo Choco Creme,20.2g,10,BISCUITS_COOKIES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg
Cadbury Oreo,Cadbury Oreo Choco Creme,41.75g,5.0,BISCUITS_COOKIES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg
Cadbury Oreo,Cadbury5Star Oreo Chocolate,75 g,150,BISCUITS_COOKIES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Oreo,Cadbury5Star Oreo Chocolate Bar,500g,150,BISCUITS_COOKIES,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM (1).jpeg
Cadbury Perk,Cadbury Perk Double,20g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Perk,Cadbury Perk Double,41.75g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg
Cadbury Perk,"Cadbury Perk Double, 20g Pack",20g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (1).jpeg
Cadbury Perk,"Cadbury Perk Double,20g Pack",75g,10,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.19 AM.jpeg
Cadbury Shots,Cadbury Shots,23g,20,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Cadbury Shots,"Cadbury Shots, 9.6g Pack",23g,20,CHOCOLATE_CONF,Lavion,WhatsApp Image 2026-04-19 at 9.45.20 AM (2).jpeg
Candyman,Candyman Creme Lacto,34g,50,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg
Candyman,Candyman Fruitee Fun Candies,660g,200,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg
Candyman,Candyman Fruitee Fun3 Candies,34g,50,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg
Candyman,Candyman Fruitee Fun3in1 Candies,660g,200,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.08 AM (2).jpeg
Candyman,Candyman Toffichoo Soft Toffee,768g,164.0,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM.jpeg
Candyman,Candyman Toffichoo Toffee,400g,200.0,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.07 AM (1).jpeg
Jelimals,Jelimals Tasty Sparkles,10g,5,CHOCOLATE_CONF,ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM (1).jpeg
