folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg,Nestle India Ltd BESTSELLER NestleMilkMaid Condensed Milk,380g,128,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg,Milkmaid Nostle MRP 128.0 SOLDOUT VIEWDETAILS BESTSELLER Nestle Milkybar Chocolate,380g,128,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg,Milky bar MRP 10.0 SOLDOUT VIEWDETAILS BESTSELLER PoloTheMintWithTheHole,380g,128,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg,POLO THE MINT WITH THE WOLF,13.2g,10,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg,Nestle India Ltd,380g,128,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg,NestleMilkMaid Condensed,380g,128,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (1).jpeg,Nestle Milkybar Chocolate,380g,128,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (2).jpeg,BESTSELLER Maggi2-MinuteNoodles,75g,15,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (2).jpeg,Masala,75g,15,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (2).jpeg,gPack Maggi MRP15|Casesize96 -Minute PRICE/pc 13.58 10.5%margin 13.78 8.9%margin GOLD FREEDELIVERY C GOLD TARGETSCHEME MRP MRP MRP MRP 7.0 15.0 30.0 58.0 VIEWDETAILS BESTSELLER NestleKitKat,75g,15,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (2).jpeg,Nestle India Ltd,75g,15,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (2).jpeg,Maggi2-MinuteNoodles,75g,15,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM (2).jpeg,"NestleKitKat,13.2gPack",13.2g,7.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg,Nestle India Ltd BESTSELLER MaggiMasala-a-Magic AromaticRoastedSpices,72g,1.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg,Masala 12 Pack (BBBW Masic MRP$60ICase size60 PRICE/pc 53.76 11.6%margin 55.1 8.9%-margin G GOLDFREEDELIVERY MRP MRP 1.0 60.0 SOLDOUT VIEWDETAILS BESTSELLER MaggiPichkooRichTomato Ketchup,72g,1.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg,Milkybar,80g,20,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg,Nestle India Ltd,72g,1.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg,MaggiMasala-a-Magic,72g,1.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg,MaggiPichkooRichTomato,80g,1.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.39 PM.jpeg,"NestleMilkybar,24.5gP",80g,20,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg,Nestle India Ltd BESTSELLER MaggiRichTomatoKetchup,200g,70,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg,VIEWDETAILS BESTSELLER MaggiHot&SweetTomato ChilliSauce,200g,70,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg,VIEWDETAILS BESTSELLER NestleMilkMaidConden Milk,200g,75,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg,Nestle Milkmaid,200g,128,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg,Nestle India Ltd,200g,70,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg,MaggiRichTomatoKetchup,200g,70,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg,MaggiHot&SweetTomato,200g,70,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg,NestleMilkMaidConden,200g,75,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM (1).jpeg,Nestle,200g,70,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg,Nestle India Ltd BESTSELLER Maggi Pazzta,65g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg,Masala Penne,65g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg,VIEWDETAILS BESTSELLER MaggiNutri-liciousVegAtta Noodles,65g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg,Masala,65g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg,Maggi - alia PRICE/pc R27.31 9.8% margin GOLDFREEDELIVERY GOLD TARGETSCHEME MRP 30.0 VIEWDETAILS BESTSELLER Maggi RichTomatoKetchup; 200gBottle MRP70|Casesize24,65g,30,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg,Nestle India Ltd,65g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg,"Maggi Pazzta,Masala Penne",65g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg,MaggiNutri-liciousVegAtta,65g,35,
Nestle,WhatsApp Image 2026-04-18 at 12.18.40 PM.jpeg,Maggi RichTomatoKetchup;,200g,30.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,Nestle India Ltd BESTSELLER MaggiMasalaCuppaNoodles,70g,52,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,Maggi PRICE/pc 47.32 CUPPA 9.9%margin nagdles GOLD FREEDELIVERY GOLD TARGETSCHEME MRP 52.0 VIEWDETAILS BESTSELLER NescafeClassicCoffee,70g,52,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,margin NESCAFE. 219.96 6.8% margin GOLDFREEDELIVERY PACK JAR JAR 1g 24g 45g SOLDOUT VIEWDET BESTSELLER MaggiPazzta,45g,52.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,Nestle India Ltd,70g,52,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,MaggiMasalaCuppaNoodles,70g,52,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,"NescafeClassicCoffee,45gJar",45g,52.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,NESCAFE,45g,52.0,
Nestle,WhatsApp Image 2026-04-18 at 12.18.41 PM (1).jpeg,"MaggiPazzta,Mushroom",1g,,
