folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
ProductsList,WhatsApp Image 2026-04-18 at 8.54.19 AM (1).jpeg,OilsSoap POND'S 400gm·MRP168 Pond's Startingfrom Caseof30 142.39143.11/ NEW' Rexona pc 100% Rexona 4,400g,168,
ProductsList,WhatsApp Image 2026-04-18 at 8.54.19 AM (2).jpeg,Tea Bru 100gm·MRP?80 CLINIC Case of120 PLUS+ Startingfrom 74.3974.76/pc 白 TAJ Clinic 8,100g,,
ProductsList,WhatsApp Image 2026-04-18 at 8.54.20 AM (2).jpeg,Pears Natural Oils Soap 75gm·MRP35 32.11/pc Caseof108 Lifebuoy Pears 35/ 3,75g,35,
ProductsList,WhatsApp Image 2026-04-18 at 8.54.20 AM (2).jpeg,OilsSoap 100gm·MRP58 POND'S 52.58/pc Caseof108 Pond's 5,108 L,58,
ProductsList,WhatsApp Image 2026-04-18 at 8.54.21 AM (1).jpeg,Tea IVI MAHAL 18gm 100gm 250gm MRP10 MRP55 MRP160 Brooke Bond T... Startingfrom Setof42 8.29天8.31/pc NaturalCare BRU 3,18g,10,
ProductsList,WhatsApp Image 2026-04-18 at 8.54.21 AM (1).jpeg,Tea closeyp 10 gm 22 gm 100gm MRP5 MRP10 MRP350 Closeup Caseof24 251.79/pc Comfort Red 6,10 g,5,
ProductsList,WhatsApp Image 2026-04-18 at 8.54.23 AM (1).jpeg,oiletCleaning Powder Cleaner Comfort 85gm·MRP10 Domex Starting from Caseof60 8.748.75/pc Domex 524.84/case Margin:14.4% Dove 12Pts Dove ADD Fair LovelyisNow Glow Lovely Fair& Lovely ... kissan Kissan Lifebuoy LUX Lux,85g,10,
ProductsList,WhatsApp Image 2026-04-18 at 8.54.24 AM (2).jpeg,Ketchup(Refill Pouch) Lifebuoy 90gm 435gm MRP15 MRP350 LUX Startingfrom Caseof120 13.41/pc13.69 Lux kissan 1,90g,15,
ProductsList,WhatsApp Image 2026-04-18 at 8.54.25 AM (1).jpeg,Coffee TAI MAHAL 1.3gm 1.8 gm 3.7 gm 7.3 Brooke MRP2 MRP3 MRP35 MR Bond T... Startingfrom Setof144 BRU 1.76/pc ROMA muesTou BRU 6,1.3g,2,
ProductsList,WhatsApp Image 2026-04-18 at 8.54.25 AM (1).jpeg,Coffee closeyp 3gm 6.7 gm MRP5 MRP10 Closeup 4.35/pc Caseof1440 Comfort 6,3g,5,
